#Scene file of the pinus brutia plot in trou du Ras (parcelle P2)
# after experimental fire
# here damage has been measured on each tree 													
#Terrain													
#name	cellWidth(m)	altitude(m)	xMin	yMin	xMax	yMax							
Terrain0	5	0	0	0	30	40							
#Polygons (optionnal)													
#fileId	"{(x1.y1);(x2.y2)...}"												
# NB polygon of shrub can be added in layerSets													
#Trees													
#treeID	speciesName	x	y	z	dbh	height	crownBaseHeight	crownDiameter minBoleLenghtCharred (m)	maxBoleLenghtCharred (m)	meanBoleLenghtCharred (m)	crownScorchHeight(m)	Crown Volume Scorched (%)	status (-1 : no status computed from mortality models, 0:dead, 1: alive)	
47	Pinus brutia	26.35	4.45	0	30.45	7.65	1.78	6.1	0.1	2.9	1.5	4.128	40	-1
49	Pinus brutia	29.25	13.2	0	21.82	7.27	1.84	4.5	0.5	1.95	1.225	5.098	60	-1
50	Pinus brutia	27.8	22.3	0	31.34	8.82	1.85	6.65	0.25	1.6	0.925	6.032	60	-1
51	Pinus brutia	23.35	37.05	0	17.93	6.36	1.55	3.55	0	0	0	1.55	0	-1
52	Pinus brutia	21.7	38.7	0	26.4	7.6	1.84	4.725	0	0	0	1.84	0	-1
53	Pinus brutia	18.8	35.54	0	12.83	5.5	1.61	4.2	0	0	0	1.999	10	-1
54	Pinus brutia	22.4	32.2	0	25.51	7.5	1.74	5.15	0	0	0	2.892	20	-1
55	Pinus brutia	22.6	23.4	0	6.31	3.55	1.38	2.3	0.75	1.6	1.175	2.899	70	-1
#56	Pinus brutia	22.6	23.4	0	8.47	4.2	1.12	0			0	1.12		-1
57	Pinus brutia	19	22.35	0	15.32	5.7	1.22	3.075	0.1	1.1	0.6	4.804	80	-1
58	Pinus brutia	22.25	19.4	0	23.92	10.2	2.34	3.7	0.2	1.2	0.7	7.842	70	-1
59	Pinus brutia	22.85	12.7	0	24.36	9.4	1.8	5.2	1.2	1.1	1.15	7.12	70	-1
60	Pinus brutia	22	6.65	0	21.4	10	2.62	3.65	0.6	2.8	1.7	7.786	70	-1
61	Pinus brutia	21.04	4.75	0	19.65	7.05	1.96	6.25	0.15	1.95	1.05	6.2865	85	-1
62	Pinus brutia	21.25	4.42	0	18.5	6.88	1.55	0	0.15	1.15	0.65	4.215	50	-1
#63	Pinus brutia	21.25	4.42	0	17.13	6.47	2.45	0			0	2.45		-1
64	Pinus brutia	20.23	0.75	0	19.94	7	1.75	4.425	0.1	1.25	0.675	2.275	10	-1
66	Pinus brutia	12.9	8.07	0	11.31	4.82	0.73	3	0.35	1.35	0.85	3.593	70	-1
