"xloc","yloc","cwddia","cwdlen","cwdpil","cwddir","cwdwt"
195.9,24.86,11.99,44.23,0,284,0.4344
131.2,11.56,11.99,44.23,0,52,0.4344
6.357,186.6,5.99,23.96,0,162,0.4344
6.81,80.37,5.99,23.96,0,308,0.4344
25.8,158.7,5.99,23.96,0,43,0.4344
47.74,58.75,5.99,23.96,0,293,0.4344
69.06,106.2,5.99,23.96,0,3,0.4344
200.3,194.3,5.99,23.96,0,28,0.05872
11.77,149.7,5.99,23.96,0,104,0.05872
173.8,154.5,5.99,23.96,0,235,0.05872
157.6,200.3,5.99,23.96,0,269,0.05872
183,16.27,5.99,23.96,0,100,0.05872
91.79,186,5.99,23.96,0,325,0.05872
11.78,207.8,5.99,23.96,0,8,0.05872
105.4,102.4,5.99,23.96,0,124,0.05872
147.2,48.91,5.99,23.96,0,156,0.05872
171.9,153.2,5.99,23.96,0,57,0.05872
78.77,69.97,5.99,23.96,0,132,0.05872
134.2,49.99,5.99,23.96,0,275,0.05872
46.53,118.5,5.99,23.96,0,300,0.05872
55.21,201,5.99,23.96,0,309,0.05872
34.91,114.7,5.99,23.96,0,79,0.05872
145.9,96.68,5.99,23.96,0,140,0.05872
163.9,202.7,5.99,23.96,0,81,0.05872
156.5,74.28,5.99,23.96,0,301,0.05872
139,180,5.99,23.96,0,178,0.05872
180.3,187.7,5.99,23.96,0,131,0.05872
67.09,81.44,5.99,23.96,0,230,0.05872
29.52,196.5,5.99,23.96,0,349,0.05872
56.13,3.339,5.99,23.96,0,249,0.05872
188.4,189.6,5.99,23.96,0,243,0.05872
78.31,179.2,5.99,23.96,0,317,0.05872
120.4,115.5,5.99,23.96,0,179,0.05872
169.2,12.86,5.99,23.96,0,76,0.05872
54.17,202.7,5.99,23.96,0,191,0.05872
52.39,100.8,5.99,23.96,0,14,0.05872
196.7,179.9,5.99,23.96,0,315,0.05872
28.82,94.76,5.99,23.96,0,102,0.05872
120.2,73.92,5.99,23.96,0,315,0.05872
157.7,199.6,5.99,23.96,0,304,0.05872
200.5,32.15,5.99,23.96,0,148,0.05872
13.34,59.85,5.99,23.96,0,168,0.05872
134.9,143.1,5.99,23.96,0,29,0.05872
76.4,131.4,5.99,23.96,0,251,0.05872
201.7,78.01,5.99,23.96,0,296,0.05872
136.4,93.98,5.99,23.96,0,114,0.05872
165.7,181.7,5.99,23.96,0,34,0.05872
25.06,140.1,2.99,11.96,0,277,0.05872
55.48,145.3,2.99,11.96,0,54,0.05872
66.39,193.3,2.99,11.96,0,208,0.05872
46.02,107.9,2.99,11.96,0,18,0.05872
135.9,189.2,2.99,11.96,0,90,0.05872
62.61,141.8,2.99,11.96,0,25,0.05872
198.8,202.7,2.99,11.96,0,253,0.05872
84.68,65.64,2.99,11.96,0,101,0.05872
186.7,205.1,2.99,11.96,0,75,0.05872
43.25,104.1,2.99,11.96,0,175,0.05872
135,25.66,2.99,11.96,0,338,0.05872
122.1,32.97,2.99,11.96,0,27,0.05872
194.3,185.8,2.99,11.96,0,305,0.05872
21.96,146,2.99,11.96,0,278,0.007304
173.1,160.6,2.99,11.96,0,37,0.007304
4.371,204,2.99,11.96,0,12,0.007304
74.46,16.45,2.99,11.96,0,66,0.007304
183.7,60.74,2.99,11.96,0,286,0.007304
21.36,99,2.99,11.96,0,40,0.007304
71.66,167.2,2.99,11.96,0,41,0.007304
4.413,71.06,2.99,11.96,0,342,0.007304
90.32,120.2,2.99,11.96,0,193,0.007304
64.3,144.5,2.99,11.96,0,265,0.007304
70.69,150.7,2.99,11.96,0,111,0.007304
101,93.71,2.99,11.96,0,159,0.007304
193.2,160.9,2.99,11.96,0,109,0.007304
132.2,33.24,2.99,11.96,0,117,0.007304
168.7,102.9,2.99,11.96,0,147,0.007304
157.4,81.63,2.99,11.96,0,359,0.007304
122.5,154.3,2.99,11.96,0,277,0.007304
147.4,194.3,2.99,11.96,0,29,0.007304
7.738,30.71,2.99,11.96,0,48,0.007304
131.7,116.9,2.99,11.96,0,251,0.007304
46.59,0.7937,2.99,11.96,0,256,0.007304
190.5,13.17,2.99,11.96,0,70,0.007304
174.2,114.8,2.99,11.96,0,256,0.007304
123.1,158.6,2.99,11.96,0,172,0.007304
66.6,72.65,2.99,11.96,0,304,0.007304
141.1,127.8,2.99,11.96,0,231,0.007304
85.37,126,2.99,11.96,0,273,0.007304
207.6,69.94,2.99,11.96,0,314,0.007304
2.384,0.1137,2.99,11.96,0,202,0.007304
32.41,34.99,2.99,11.96,0,205,0.007304
128.8,175.7,2.99,11.96,0,132,0.007304
37.54,186.6,2.99,11.96,0,173,0.007304
184.9,63.35,2.99,11.96,0,342,0.007304
61.39,129.2,2.99,11.96,0,19,0.007304
103.8,64.88,2.99,11.96,0,2,0.007304
192.8,109.4,2.99,11.96,0,344,0.007304
110.1,72.12,2.99,11.96,0,191,0.007304
186.1,73.81,2.99,11.96,0,170,0.007304
82.46,38.22,2.99,11.96,0,264,0.007304
193.7,19.3,2.99,11.96,0,98,0.007304
11.43,98.6,2.99,11.96,0,249,0.007304
150.4,70.52,2.99,11.96,0,308,0.007304
148.8,148.2,2.99,11.96,0,22,0.007304
183.6,33.34,2.99,11.96,0,72,0.007304
26.75,165.1,2.99,11.96,0,350,0.007304
7.7,17.34,2.99,11.96,0,303,0.007304
12.68,11.31,2.99,11.96,0,183,0.007304
179.9,104.2,2.99,11.96,0,112,0.007304
107.6,189.4,2.99,11.96,0,10,0.007304
121.6,60.51,2.99,11.96,0,123,0.007304
121.5,33.91,2.99,11.96,0,269,0.007304
152.7,19.04,2.99,11.96,0,319,0.007304
116.1,35.15,2.99,11.96,0,121,0.007304
138.7,195.2,2.99,11.96,0,66,0.007304
25.91,119.8,2.99,11.96,0,112,0.007304
1.684,119.3,2.99,11.96,0,227,0.007304
186,95.18,2.99,11.96,0,75,0.007304
1.603,24.9,2.99,11.96,0,331,0.007304
95.11,56.66,2.99,11.96,0,158,0.007304
208,186,2.99,11.96,0,298,0.007304
77.57,77.77,2.99,11.96,0,9,0.007304
191.2,190.8,2.99,11.96,0,330,0.007304
78.65,108.9,2.99,11.96,0,172,0.007304
107.5,170.2,2.99,11.96,0,218,0.007304
33.58,52.81,2.99,11.96,0,195,0.007304
176.2,98.36,2.99,11.96,0,84,0.007304
117,136.7,2.99,11.96,0,287,0.007304
48.41,71.86,2.99,11.96,0,158,0.007304
189.3,171,2.99,11.96,0,28,0.007304
69.6,139.2,2.99,11.96,0,330,0.007304
14.34,81.03,2.99,11.96,0,80,0.007304
48.26,31.17,2.99,11.96,0,300,0.007304
189.8,84.86,2.99,11.96,0,32,0.007304
172.3,115.3,2.99,11.96,0,307,0.007304
174.3,185.9,2.99,11.96,0,104,0.007304
70.79,125.9,2.99,11.96,0,157,0.007304
177.6,192.2,2.99,11.96,0,139,0.007304
189.8,173,2.99,11.96,0,309,0.007304
184.4,94.36,2.99,11.96,0,33,0.007304
55.36,140.6,2.99,11.96,0,153,0.007304
126.6,21.85,2.99,11.96,0,323,0.007304
195.5,196.4,2.99,11.96,0,35,0.007304
172,72.63,2.99,11.96,0,53,0.007304
102.9,8.394,2.99,11.96,0,145,0.007304
193.6,50.01,2.99,11.96,0,238,0.007304
61.54,101.7,2.99,11.96,0,124,0.007304
198.4,130,2.99,11.96,0,307,0.007304
76.68,30.8,2.99,11.96,0,218,0.007304
31.23,14.98,2.99,11.96,0,119,0.007304
141.5,159.5,2.99,11.96,0,89,0.007304
196,18.37,2.99,11.96,0,53,0.007304
195.9,79.18,2.99,11.96,0,24,0.007304
28.51,29.06,2.99,11.96,0,92,0.007304
82.63,80.34,2.99,11.96,0,195,0.007304
94.04,115.8,2.99,11.96,0,208,0.007304
52.88,34.13,2.99,11.96,0,154,0.007304
169.5,182.6,2.99,11.96,0,269,0.007304
12.37,83.97,2.99,11.96,0,87,0.007304
17.98,20.37,2.99,11.96,0,80,0.007304
48.47,32.56,2.99,11.96,0,278,0.007304
180.6,207.4,2.99,11.96,0,202,0.007304
56.18,19.98,2.99,11.96,0,63,0.007304
10.91,126.6,2.99,11.96,0,157,0.007304
203.4,61.95,2.99,11.96,0,62,0.007304
175.4,3.727,2.99,11.96,0,294,0.007304
18.57,77.5,2.99,11.96,0,155,0.007304
189.3,66.31,2.99,11.96,0,174,0.007304
28.56,194,2.99,11.96,0,353,0.007304
151.7,82.8,2.99,11.96,0,44,0.007304
163.7,182.8,2.99,11.96,0,267,0.007304
103.2,135.2,2.99,11.96,0,113,0.007304
71.78,96.52,2.99,11.96,0,354,0.007304
109.9,101.7,2.99,11.96,0,138,0.007304
194.2,2.007,2.99,11.96,0,261,0.007304
126.6,49.22,2.99,11.96,0,91,0.007304
187.1,39.77,2.99,11.96,0,252,0.007304
62.74,68.16,2.99,11.96,0,82,0.007304
2.089,43.68,2.99,11.96,0,119,0.007304
29.87,77.55,2.99,11.96,0,18,0.007304
9.086,134.1,2.99,11.96,0,189,0.007304
207.8,120.4,2.99,11.96,0,112,0.007304
179.2,206.7,2.99,11.96,0,176,0.007304
106.6,133.4,2.99,11.96,0,302,0.007304
87.7,116.4,2.99,11.96,0,155,0.007304
128.2,40.63,2.99,11.96,0,320,0.007304
166.1,12.07,2.99,11.96,0,244,0.007304
