"xloc","yloc","species","dbh","ht","crwdth","cratio","crownwt0","crownwt1","crownwt2","crownwt3"
11.92,103.9,"PSME",7.094,57.46,13.29,55,18.62,13.46,23.7,3.491
44.1,73.39,"PSME",7.094,57.46,13.29,55,18.62,13.46,23.7,3.491
5.45,81.02,"PSME",9.968,76.63,16.13,55,33.03,23.49,47.49,12.68
24.86,98.94,"PSME",9.968,76.63,16.13,55,33.03,23.49,47.49,12.68
48.01,77.63,"PSME",9.968,76.63,16.13,55,33.03,23.49,47.49,12.68
33.76,121.1,"PSME",7.172,57.75,13.63,59,18.98,13.71,24.28,3.62
21.77,70.78,"PSME",11.39,76.94,17.5,58,41.11,29.14,60.37,21.87
21.32,84.11,"PSME",11.39,76.94,17.5,58,41.11,29.14,60.37,21.87
24.33,82,"PICO",16.99,114.5,14.7,28,61.2,56.02,67.19,71.81
17.84,139.5,"TSHE",21.58,98.91,30.05,73,105,52.5,121.3,186
12.81,170.8,"TSHE",21.58,98.91,30.05,73,105,52.5,121.3,186
9.799,164.4,"TSHE",24.57,102.3,31.97,74,109.5,54.07,143.4,249.6
4.651,158.8,"TSHE",21.76,103.6,30.36,73,108.2,54.02,125.3,194.4
17.83,183.3,"LAOC",13.57,133.9,13.87,18,23.73,32.49,41.22,22.9
89.94,16.2,"PIPO",15.71,126.7,15.82,40,51.95,5.825,92.79,80.91
109.8,37.1,"LAOC",14.93,63.96,13.74,19,15.76,21.94,28.97,17.67
121.9,3.18,"PICO",14.42,103.3,11.43,17,35.33,30.72,37.72,30.49
126.5,77.16,"PSME",11.95,95.13,13.25,18,44.41,31.46,65.63,26.35
102.8,80.5,"PSME",11.95,95.13,13.25,18,44.41,31.46,65.63,26.35
74.66,93.72,"PSME",11.95,95.13,13.25,18,44.41,31.46,65.63,26.35
121.6,67.19,"PSME",14.69,100.2,15.58,22,77.72,42.09,80.66,51.86
122,56.89,"PSME",12.28,94.23,13.81,20,46.41,32.86,68.79,29.25
83.12,96.72,"PSME",14.21,92.93,14.83,20,58.44,41.38,87.71,49.52
102.8,69.36,"PSME",14.21,92.93,14.83,20,58.44,41.38,87.71,49.52
61.99,65.47,"PSME",14.2,88.97,14.77,20,58.4,41.35,87.65,49.45
98.08,82.27,"PSME",14.78,98,15.4,21,62.15,44.03,93.46,56.93
75.23,63.79,"PSME",13.43,107.4,14.4,19,69.22,37.2,69.94,39.76
113.2,68.53,"PIPO",21.27,150.1,19.23,41,82.59,6.371,167.2,210.7
131.5,72.19,"PIPO",21.27,150.1,19.23,41,82.59,6.371,167.2,210.7
47.03,9.757,"PSME",14.27,98.11,19.89,57,58.85,41.67,88.35,50.31
14.33,62.45,"PSME",14.27,98.11,19.89,57,58.85,41.67,88.35,50.31
39.86,58.99,"PSME",14.27,98.11,19.89,57,58.85,41.67,88.35,50.31
25.37,13.26,"PSME",14.27,98.11,19.89,57,58.85,41.67,88.35,50.31
50.1,49.3,"PSME",22.34,100.4,25.47,62,148.3,82.71,161.8,210
6.402,25.82,"PSME",22.34,100.4,25.47,62,148.3,82.71,161.8,210
15.35,36.55,"PSME",22.34,100.4,25.47,62,148.3,82.71,161.8,210
53.52,37.26,"PSME",15.04,98.6,20.52,58,63.83,45.23,96.03,60.45
45.3,30.18,"PSME",13.88,103.6,19.52,55,72.28,38.95,73.76,44.19
53.72,36.66,"PSME",13.88,103.6,19.52,55,72.28,38.95,73.76,44.19
53.87,53.49,"PSME",16.07,95.72,21.54,62,70.71,50.18,106.5,76.11
